Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A9_1_22178.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A10_1_22179.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A11_1_22180.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A12_1_22181.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B1_1_22182.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B2_1_22183.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B3_1_22184.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B4_1_22185.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B1_1_22186.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B2_1_22187.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B3_1_22188.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B4_1_22189.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A5_1_22174.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A6_1_22175.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A7_1_22176.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A8_1_22177.d
A0A068F9P7	A0A068F9P7_DANRE	b3glcta		66058.6	63115.2	60600.9	61961	73466.2	76283.9	57018	58739.2	59932.3	55255.9	49324.7	54090.8	59459	58904.8	45659	39520
A0A096X8J7	B3A3_DANRE	Slc4a3		30865	33572.3	29021.5	31350.5	30256.7	32407	30333.7	31168.7	26234.3	28578	29798.4	24698.3	30576.7	31745.1	26602.2	25922.9
A0A097	A0A097_DANRE	tmsb1		372740	379520	314114	291720	293217	298163	273409	279159	270442	252070	337840	318041	290621	293179	454120	474058
A0A0A0MPL5	A0A0A0MPL5_DANRE	fscn1b		66164.8	64684.4	62004	63152.9	63990	61135	64369.8	70599.8	71650.4	71356.8	60569.3	58124.9	55128.7	59052.3	76082.5	79076.5
A0A0B4J1A5	A0A0B4J1A5_DANRE	ewsr1a		213692	218956	206326	221131	228422	218890	233116	231110	176095	215033	240806	240304	243977	252045	204427	208903
A0A0F7C9F3	A0A0F7C9F3_DANRE	iqgap1		37157.7	39843.2	42630.3	44491.9	35356.6	34876.2	27543.5	30727.1	32042.5	26734.1	38822.1	38996.9	30937.7	30924.8	45254.2	51778.3
A0A0G2KDN7	A0A0G2KDN7_DANRE	csdc2b		13873	15635.6	8168.2	7603.62	9236.66	9668.75	8548.12	8244.09	20004.8	22083.5	11699.2	11782	10948.4	11215.5	14118.9	11524.4
A0A0G2KHE4	A0A0G2KHE4_DANRE	cnnm4a		7866.95	10422.6	5767.25	6315.67	9637.02	8156	9930.42	10721.2	5194.92	1903.04			16856.3	16645.2	3753.2	6108.2
A0A0G2KHZ9	A0A0G2KHZ9_DANRE	tlcd3a		51930	69332.5	94234.9	107876	87248.1	112858	70206.2	77757.5	95158.1	120137	55497	55692	49421.1	46350.9	135873	150268
A0A0G2KLD8	A0A0G2KLD8_DANRE	bphl		7460.42	8371.21	9023.83	9597.48	10150.3	11471.9	9201.71	11850.3	11217.8	11778.5	10946.4	10823	13429.9	11069.7	13302.8	16063.7
A0A0G2KLM8	A0A0G2KLM8_DANRE	znf1117		31588.2	24508.9	37497.4	43536.8	37267.4	35137.2	40623.1	38839.8	45452.9		48457.4	49104	28640.2	40069.4	28670.4	28243
A0A0G2KLU8	A0A0G2KLU8_DANRE	slc25a29		61625.6	58171.8	43327.7	40452.5	66538.9	62497.4	50767.1	54185	60589.7	49567.1	61475.8	49769.7	56338.2	57154.2	38592.5	36041.6
A0A0G2KQ62	A0A0G2KQ62_DANRE	fbn2b		35594.9	37992.1	29530	32472.2	51910.5	54634.4	37102	37885.4	40418.2	36680.2	41729.7	42446.7	26478	24879.6	50952.2	57091.9
A0A0G2KQC0	A0A0G2KQC0_DANRE	nectin3a			15389.2	24451.1	27869.3	24184.4	28799	26426.8	18608.5	25903		17604.9	16625.7	13112.2	11130.3	23212.6	26233
A0A0G2KTI4	S12A2_DANRE	slc12a2		81181.4	79305.7	79799.8	77017.8	86710.8	91838.3	88608.1	85924.8	96872	94627.8	80891.2	81918.3	79394.5	82118.1	90738.7	96442.9
A0A0G2KTT4;A0A8M6Z583	A0A0G2KTT4_DANRE;A0A8M6Z583_DANRE	LOC100536187;si:dkey-167k11.5		32510.8	35566.1	30113.1	26106.6	31824.7	35018.8	29625.7	30251.3	31137.5	29407.9	29844.7	29306.4	27956	27139.3	32248.3	30950.4
A0A0G2KUB6	A0A0G2KUB6_DANRE	fj16a03		21738.1	21363.7	37265.8	41160.7	37265.2	42360.3	39579.8	54772	29696.1	21426.9	30444.2	33476.3	19837.6	22706.4	47989.3	50005.6
A0A0G2KYC0	A0A0G2KYC0_DANRE	cpeb4b		38822.3	37911.9	36265.8	37647.2	39497.6	38758.1	42159.2	44634.8	45564.1	41041.9	39784	38760.4	40621	38767.6	35722.6	34667.6
A0A0G2KZ26	A0A0G2KZ26_DANRE	smug1		20894.2	22048.9	30305.1	23096	13737.7	21660	21874.7	25929.1			14460.9	24741.5	17465.5	21882.1		
A0A0G2L033	A0A0G2L033_DANRE	oscp1b		44442.4	36062.4	44313.4	42545.9	43705.1	45811.5	46793.5	49788.2	45340.3	54537.4	54978.7	43708.1	49268.6	46936.3	39949	39088.4
A0A0G2L264	A0A0G2L264_DANRE	rab35a		19505.1	16567.4	19229.9	22985.7	19301.7	17840.7	30309.6	19736.3		20284.4	33199.6	21658.2	30348.8	29093	19307.7	22423.6
A0A0G2L2Q2	A0A0G2L2Q2_DANRE	uqcr10		147963	155148	130532	144903	156681	154630	120102	140223	211990	189200	94960.5	141775	131453	122632	140919	137576
A0A0G2LAU9	A0A0G2LAU9_DANRE	gnaz		39503.3	39434.9	37899	37691.1	39801.1	48909	41778.5	46866.9	65708.3	55467.2	36708.2	33499.8	27006.1	31186.4	52708.6	62100.8
A0A0H2UKW6	A0A0H2UKW6_DANRE	akap8l		174524	174158	187118	182753	185989	186694	183750	182010	155290	173998	179693	172630	181261	183610	185827	192582
A0A0N4STT7	A0A0N4STT7_DANRE	lpar4		28912.8	24425.2	28705.8	29711	19209.2	32501.6	29686.3	30758.7		13938.8	36248.1	37108.4	30983.4	28585.2	18880.3	18628.1
A0A0P0CP42	A0A0P0CP42_DANRE	carmil3		11990.5	12278.1	11097.6	9012.7	14626.4	10218	10373.3	12054.9	10107.4	8469.34	9599.55	9464.07	14606.3	9867.06	9747.54	7070.63
A0A0R4I9D6	A0A0R4I9D6_DANRE	sympk		9569.25	11354	14970.5	15892.4	12619.3	13777.8	13836.3	14621.1	15294.5	15203.7	12546.3	12706.1	9061.9	12715.8	18585	17900.9
A0A0R4I9I2	A0A0R4I9I2_DANRE	cstf2		43462.5	44716.6	55128.8	51250.5	72203	47835.3	57364.2	64788.2	85583.3	43188.8	73774.1	70817.7	52581.8	52600.1	59531.3	44244.4
A0A0R4I9N0	A0A0R4I9N0_DANRE	purab		498290	484888	436916	458492	484196	485052	515434	509379	592751	530566	499823	497372	512061	488198	530850	526286
A0A0R4I9N1	A0A0R4I9N1_DANRE	thbs4a		7084.47		5614.69	12855.4	5680.53	8815.56	12242.9				7876.74	15582.2		14110.7	11896.2	11060.4
A0A0R4I9Q9	A0A0R4I9Q9_DANRE	hcls1		11047.7	8730.89	11674.7	8744.53	17616.3	16203.3	11761.6	9855.28	7757.85	10969.1	16137.6	15203.7	18486.2	17312.9	7868.69	
A0A0R4I9S5	A0A0R4I9S5_DANRE	naa15b		60489.1	62863.5	55841.7	60466.3	62040.1	59395.7	55579.5	59995.6	66791.7	61817	68423.3	60884.9	61972	57303.5	63532.6	61913.7
A0A0R4IAD9	A0A0R4IAD9_DANRE	slc38a3b		91227.5	93905.8	60846.5	72049	58079.9	57713.3	63364.7	59759.2	96153.5	89236.5	54835.9	66093.1	59332.8	62672	80492.4	68820.3
A0A0R4IAE2	A0A0R4IAE2_DANRE	srgap3		15672	17239.4	18085	18975.8	19970.4	17669.7	19207.4	20794.1	14833	24778.5	21400.3	20192.2	14218.6	19351.2	16130.7	17256.7
A0A0R4IAH0	A0A0R4IAH0_DANRE	hdac4		9732.6	12166.9	12028.2		8719.14	10643.5	6627.38		18565.9	13192.2						9632.17
A0A0R4IAS2	A0A0R4IAS2_DANRE	ppl		39640.4	39093		9518.42	7753.38							12959.6			48285.8	46977.7
A0A0R4IAX0	A0A0R4IAX0_DANRE	fnbp1l		36584.7	34063.1	34913.1	39903.2	36089.8	34091.4	30720.2	34737.8	44745.1	27659.3	38631.1	36423.4	27355.6	27812.7	47074.8	49433.4
A0A0R4IAZ9	A0A0R4IAZ9_DANRE	sec24c		46155	48464.7	44043.6	51718.9	44353	53722.3	47497.8	46099.1	59642.5	66045.4	37535.8	43222.2	31376.9	36296.4	59744.2	64536.4
A0A0R4IB13	A0A0R4IB13_DANRE	xrcc5		59258	60042.9	59991.2	58026.2	64653.8	57217.8	77069	69437.9	51082.3	51909.5	73566.6	73361.2	76826.8	69048.3	59428.7	55956.4
A0A0R4IBK5	R213A_DANRE	rnf213a		5681.61	4625.36	4488.39	4082.05	5825.46	4670.85	3636.92	7569.17		2970.01	2302.82	3293.06	6582.45	6030.4	3853.84	4069.69
A0A0R4IBM4	A0A0R4IBM4_DANRE	si:ch73-345f18.3		52695.3	41555.8	33388.8	28735	33153.1	35940.3	30512.8	20534.4			37384.2	55310.1	53698.4	60293.3	39973.3	30776.8
A0A0R4IBS8	A0A0R4IBS8_DANRE	snx7		12250.3	14883.2	16123.6	15726.1	14461.6	11324.8	11696	12557.3		11021.1	11560	9639.65	10474.1	12042	20531	21683.2
A0A0R4IBT0	A0A0R4IBT0_DANRE	sf1		33949.1	32057.1	40419.6	38631.9	37061	43354.5	32600.8	31997	22456.5	41662.2	37361.5	32404.5	27588.2	26753	59191.3	53624.4
A0A0R4IBX9	A0A0R4IBX9_DANRE	hmgn1b		1.78287e+06	1.84469e+06	2.32628e+06	2.41527e+06	1.51158e+06	1.55191e+06	1.74873e+06	1.89548e+06	1.12991e+06	1.37387e+06	1.92611e+06	1.94552e+06	1.37384e+06	1.43641e+06	2.05445e+06	2.09678e+06
A0A0R4IC20	A0A0R4IC20_DANRE	si:ch211-276i12.9		37360	40063.7	51767.5	50594.3	44655.4	44967.6	38521.2	44041	40714.6	43785.4	39025.5	38926.4	36810.9	38707	54497.8	48948.6
A0A0R4IC31	A0A0R4IC31_DANRE	akap12b		83603.8	88151.8	103361	102728	74797.7	79999	69822.5	75424.6	72692.1	82054.7	84097.9	82536.8	64691.1	63052.1	117664	127000
A0A0R4IC35	A0A0R4IC35_DANRE	ogal		15865.7	16951.9	16652.3	18380.4	19215.9	16489.1	18397.6	17014.6	21406.8	18374.1	16070.9	12098.7	16600.5	13691.3	18612.2	20473.5
A0A0R4IC37	CPSF1_DANRE	cpsf1		29349.4	29990	28728.8	26221.7	27170.2	22999.3	28400.4	25802.1	27338.1	17130	32299.1	34059.6	37635	40669.7	23782.4	20204
A0A0R4ICA5	A0A0R4ICA5_DANRE	slc15a4		41688.9	41330	37498.7	39405.1	41801.2	38303.4	39620.3	38232.7	38182.6	31992.4	31405.9	36865.3	48479.3	37461.9	35097.5	27683.2
A0A0R4ICL4	A0A0R4ICL4_DANRE	slco1e1						22764.4	19995.8	18552.2	13520.7	15930.7	22028.3	13008.9	20276.8	17359.5	19959.5		
A0A0R4ICR8	A0A0R4ICR8_DANRE	bsg		553019	532404	488734	488028	555753	532848	571613	550623	556293	544542	629679	648747	565586	562462	512274	549897
A0A0R4ID09	A0A0R4ID09_DANRE	rps6ka3a		239722	229594	235808	241989	240150	231978	243934	246937	287736	223453	234108	235774	235208	254468	237099	241927
A0A0R4ID68	A0A0R4ID68_DANRE	pfklb		210194	225115	240948	243122	230401	235577	230528	234623	244872	246776	204696	209994	233368	236050	249895	288805
A0A0R4ID82	A0A0R4ID82_DANRE	vps33a		8960	8742.47	4535.9	7116.81	4285.93	4974.56	4814.15	4863.1	4534.96	5527.73	8511.56	7592.57	7863.44	7961.33		7018.19
A0A0R4IDA9	A0A0R4IDA9_DANRE	si:ch211-113d22.2		3.3158e+06	3.2409e+06	3.36984e+06	3.37298e+06	3.70922e+06	3.69828e+06	3.34215e+06	3.31404e+06	4.2953e+06	4.23822e+06	3.95573e+06	4.03919e+06	4.33038e+06	4.10954e+06	3.25809e+06	3.21452e+06
A0A0R4IDN5	A0A0R4IDN5_DANRE	snx8b		37742.3	30588.5	29467.4	30259.1	30838.2	26130.2	30070.4	29591.3	16093	20353.8	29694.5	25085	36198.3	31399.3	20847.1	16864
A0A0R4IDY8;U3JAQ6	A0A0R4IDY8_DANRE;U3JAQ6_DANRE	si:ch211-120g10.1;si:ch73-364h19.2		9194.12	9067.83		7122.31	9566.24	7549.55	4787.19	8593.3	7005.58	7261.5			10113		6671.9	9114.79
A0A0R4IE87	A0A0R4IE87_DANRE	mtbl		78607.9	96733.8	105285	102160	90767	87478.4	98193.7	102164	66004.8	88022.9	91103.2	111422	99352.4	97417.1	83049.8	76919.5
A0A0R4IED7	A0A0R4IED7_DANRE	zgc:112334		55564.3	57557	60786.7	56720.5	57172.5	60676.1	63578.4	62891.7	57216.4	55583	58898.6	66275.8	73645.8	73627.6	55078	59942.8
A0A0R4IEQ0	A0A0R4IEQ0_DANRE	gna11a		29208	25580.3	24576.8	30081.7	25861.7	29549.1	26642.5	30080.2	45499.6	38764.1	25396.2	26603	24186.4	22650.7	31964	38969.6
A0A0R4IES7	BLTP1_DANRE	bltp1		22239.1	24511.1	26003.3	21418.8	24348.6	27338.8	26611.5	24186.5	20843.7	28935.4	28875	27380	25341.7	25687.3	22766.5	20531.6
A0A0R4IEW8	ELAV4_DANRE	elavl4		20184.4	28313.7	16728.6	24505.4	25574.3	19427.5	24568.6	18536.8	40083	29064.6	40351.3	30664.1	40325.4	28416.2	28723.8	25315.5
A0A0R4IF19	A0A0R4IF19_DANRE	spink2.5		1133.55		4491.79	6042.83	21317.6	26890.3		2236.34		2452.81	9895.99	13293	5602.99	6347.5	4096.02	2889.14
A0A0R4IFJ1	A0A0R4IFJ1_DANRE	dnajc7		13266.1	12596.5	15309.3	13331.9	16563.9	15309.5	13801.3	16724.1	6102.19	13897.7	14451.5	15934.7	10644.6	10340.6	12169.1	16368.5
A0A0R4IFJ4	A0A0R4IFJ4_DANRE	pcxa		498358	508666	419259	411739	350825	359842	374939	378374	422622	421345	348307	330449	425878	428604	493624	552856
A0A0R4IFJ7	A0A0R4IFJ7_DANRE	ckmt2a		5.14765e+06	5.32729e+06	4.51051e+06	4.39982e+06	4.86578e+06	4.90566e+06	4.76165e+06	4.84417e+06	5.82921e+06	5.08735e+06	5.03375e+06	4.82067e+06	5.102e+06	5.21334e+06	4.9989e+06	5.31703e+06
A0A0R4IG09	A0A0R4IG09_DANRE	eif4h		233642	227964	261416	253929	244838	235062	244153	240352	233353	253205	237838	244703	241111	253064	296228	307719
A0A0R4IGD1;F1QSI6	A0A0R4IGD1_DANRE;F1QSI6_DANRE	ssbp4;zgc:110158		23284.6	28415.7	33281.6	34724.4	30991.9	34621	36459.5	29362.5	22983.5	32531.7	32922.4	29842.8	34783	30922.6	28241	30666.8
A0A0R4IGE1	A0A0R4IGE1_DANRE	si:ch211-207b24.4			7746.75	6691.02								10003.3	12916.5	11529.2		14223.3	13118.2
A0A0R4IGE6	A0A0R4IGE6_DANRE	sh3gl1b		32897.4	46736.7	38529.2	30436.3	18921.7	25038.9	13448.9	20324.3		45328.3	44736.8	43312.9	56089.7	52011.2	47090.9	43444.5
A0A0R4IGF8	A0A0R4IGF8_DANRE	ly6pge		149314	150546	150967	164409	164441	196332	258000	274000	154424	161564	71011.5	82402.9	100292	92418	176939	246462
A0A0R4IGK4	A0A0R4IGK4_DANRE	stom		68853.2	57809.7	64737.9	82479.1	69018.9	78698.5	67425.2	73962.9	77131.3	76072.6	68637.6	79286.3	35790.3	32153.3	101783	122014
A0A0R4IGP6	A0A0R4IGP6_DANRE	pkma		2.34231e+06	2.34613e+06	2.22308e+06	2.25072e+06	2.18783e+06	2.16791e+06	2.05901e+06	2.14931e+06	2.67157e+06	2.52337e+06	2.2469e+06	2.1234e+06	2.11575e+06	2.19039e+06	2.74297e+06	3.20581e+06
A0A0R4IGS2	A0A0R4IGS2_DANRE	si:ch73-55i23.1		49858.4	52476.4	67761.3	72970	52021.3	55959.7	39998.3	38245.8	34623.7	32222.5	60933.8	59927.9	50861.7	57612.9	108793	122702
A0A0R4IGT8	A0A0R4IGT8_DANRE	magi3a		2691.11	6021.81	7970.86	8442.27	8722.36	6339.13	3719.35	4686.29	10572.3	8612.47		7542.58			8236.01	11704.8
A0A0R4IGU0	A0A0R4IGU0_DANRE	cnn1b		13077.3	15611.3	5918.65	9192.23	11575.9	13405.7	7866.2	11108.5	7759.96	8226.66	11241	8860.72	11324.8	8497.83	7434.81	7504.98
A0A0R4IH35	A0A0R4IH35_DANRE	mccc1		121687	114581	114264	107996	103926	99452.7	91214.5	90266.4	150389	129655	88173.2	90754.3	112822	108279	99617.7	116430
A0A0R4IH79	A0A0R4IH79_DANRE	lonp1		99819.1	98182.5	84694.7	83998.9	82913.5	75136	81262.2	79409	78393.4	85552	86848.9	89738.6	89261.8	88240.2	79125.7	75529.5
A0A0R4IHF0	A0A0R4IHF0_DANRE	pacsin2		29126	33166.2	27940.3	29677.4	33044.3	22614.4	34694.5	30852.5	18157.5	23871.6	33059.6	31782.4	27391.5	26223.3	28130.7	28070.8
A0A0R4IHM6	A0A0R4IHM6_DANRE	gng12b		22652.4	25172.8	29273.7	30300	33465.3	33500.4	24737.4	23876		24140.5	26548.8	29431.6	28707.6	30415.9	18885.4	24998.5
A0A0R4IHR0	A0A0R4IHR0_DANRE	bpnt1		80698.2	81321.3	74671.3	69318.1	71081.2	69148.3	77314.8	82799.4	59512.5	62785.1	82368.5	75730.7	88746.4	86805.4	69279.7	69317.7
A0A0R4IHX8	A0A0R4IHX8_DANRE	sat2b		16351.8	13447.4	10817.4	6542.19	7888.44	8137.06	13107.5	16736.7	4050.6	8464.75	9250.33	8942.05	15282.1	15042.4	8790.71	12792.4
A0A0R4II06	A0A0R4II06_DANRE	lgals4		13415.5	10811.6	7377.77							12035.9		10454.4			25946.6	23701.3
A0A0R4II16	A0A0R4II16_DANRE	psmf1		46916.5	46552.1	45290.5	41466.9	41941.4	43188.4	44140.7	51072.2	56925	43425.7	47839.2	40707.7	40798.8	45742.8	55915.2	75303.9
A0A0R4IIB7	A0A0R4IIB7_DANRE	aldh5a1		134480	130072	101389	91211.4	112609	111061	120209	115671	155188	139356	129727	124933	128101	129272	122077	128052
A0A0R4IJ75	A0A0R4IJ75_DANRE	ints1			12810.8	24270.7		28483		18137.8	21595.1		39219.7				9068.56	28308.8	
A0A0R4IJC7	A0A0R4IJC7_DANRE	yme1l1b		14127.8				13028.6	16461.6			25547	10570.6	28895.6	23043.4	24273.9	21377.4	15283.9	18686.3
A0A0R4IJL2	A0A0R4IJL2_DANRE	naga		4176.3	5372.66		4105.36	3895.06	6407.5	5421.89	4679.31		7151.57			3123.86		7405.6	10906
A0A0R4IJL5	A0A0R4IJL5_DANRE	mboat2b		16075.6	18904.6	13926.3	20666.6	15284	17398.3	12921.5	19969	17408.2	27063.3	11077.8	11613.2	8708.62	9247.51	25877.5	30108.5
A0A0R4IJT8	A0A0R4IJT8_DANRE	cct8		197242	200241	222988	222474	211827	217473	212203	225417	232793	251280	211780	204958	199333	201245	247641	275032
A0A0R4IJU5	A0A0R4IJU5_DANRE	syn2b		391343	377278	356593	363600	360728	384104	332900	329934	482077	414111	370781	361975	350587	331881	522294	543841
A0A0R4IK06	A0A0R4IK06_DANRE	ankfy1		56904.5	50395	45823.9	51792	49601.5	54977.3	53641.3	51045.3	63222.6	52212.3	60055.1	55077.1	55351.1	47276.8	47137.4	55135.2
A0A0R4IK07	A0A0R4IK07_DANRE	tsnare1		59487.2	54039.2	53457.4	55122.6	54313	52412.9	55733.3	55199	65538.6	55018.3	51707.6	49932.2	57955	61184.4	56527.6	65140.4
A0A0R4IK63	A0A0R4IK63_DANRE	map3k4			4179.39	7045.28	3677.82	4230.71	5183.32	4560.24	4708.88		5217.17	7928.71	5719.28	3925.61	5628.56		3277.33
A0A0R4IKE0	A0A0R4IKE0_DANRE	casq1a		3236.23				10789.3	14589						2125.44			48523.1	47247.7
A0A0R4IKF0	A0A0R4IKF0_DANRE	apoa1b		4.12666e+06	4.12481e+06	2.4255e+06	2.5253e+06	2.38955e+06	2.43256e+06	2.27171e+06	2.29412e+06	2.6369e+06	2.48837e+06	2.85307e+06	2.68409e+06	2.56025e+06	2.57079e+06	2.91429e+06	3.29507e+06
A0A0R4IKF9	A0A0R4IKF9_DANRE	tmem63ba		48445.1	52401.3	55677.8	56455.4	57050.5	51651.6	53341.5	55847.7	41012.7	43602.8	58732.9	56478.9	75527.9	74329.2	42202.6	49653.7
A0A0R4IKJ1	CAPAM_DANRE	pcif1		23328.5	28309.5	27865.6	26632.3	31309.8	28724.3	33104.1	31481.1	22103.6	25120.2	31667.9	34471	27708	31281.8	25190.6	28325.5
A0A0R4IKQ6	A0A0R4IKQ6_DANRE	cd248a		15261.9	11153.2	16044.4	11423.3	10549	12039.1	15551.7	13217.1			11754.3	15068.4		17782.9		
A0A0R4IKR8	A0A0R4IKR8_DANRE	hip1rb		29468.7	27037	27337.2	23942.2	28074.9	27154.6	27819.8	24453.4	39942.1	27409	28502	29152.2	26514.2	25029.2	23164	21900.1
A0A0R4IKU3	RECK_DANRE	reck		14347.6	14530.7	14371.3	16867.2	10722.3	13807.5	9858.7	8654.09	9201.51	10607	10702.6	11461.5	9195.24	8877.44	16216.8	13852.8
A0A0R4IL08	A0A0R4IL08_DANRE	si:ch73-173h19.3		17838.3	19012.8	7277.8	10531.4		8521.64	16643.5	13521			10650.8		11503.9	12421.7	9527.83	12555
A0A0R4IL29	A0A0R4IL29_DANRE	calr3b		160605	148624	173671	176107	196497	195113	189794	177078	155830	157962	186839	191267	198986	202864	163518	161848
A0A0R4IL71	A0A0R4IL71_DANRE	ide		75370.9	67464.8	57031.2	52968.4	64749.8	73432.5	62126.1	56345.5	74906.5	64372.8	70454.9	72114.4	65542.8	70470	58407.7	57782.8
A0A0R4ILA8	A0A0R4ILA8_DANRE	psmc3		126531	121240	133402	133524	123994	120922	109090	122248	132826	164213	159796	155039	143969	143679	154970	161730
A0A0R4ILB2	FLC2A_DANRE	flvcr2a		20164.5	22949.4	24790.2	23149.6	17496.3	15226.9	19876	18738.1	22306.3	24509.1	12437.5	12420.5	15376.7	11828.1	22314.5	14811.6
A0A0R4ILD9	A0A0R4ILD9_DANRE	eif2b1		21433.3	19826.3	21181.4	20161.1	21848.8	21528.4	24574.1	21302.4	21088.6	19020.6	26626.5	22990.7	29081.4	25849.3	18571.7	15074.7
A0A0R4ILJ8	A0A0R4ILJ8_DANRE	glrx2		40099	37226.2	40591.2	39944.4	35833	38831.7	31789.5	35220	50518.2	46144.1	35115.6	29173.7	43400.9	39769.7	41886.2	41881.9
A0A0R4ILN1	A0A0R4ILN1_DANRE	cc2d1b		9227.33	11637.4	18565.6	18303.6	14165.1	19327.4	11046.1	17734.7		15242	5483.73	7307.41	6476.99	6096.35	22458.7	24715.2
A0A0R4IM59	A0A0R4IM59_DANRE	si:dkey-22o22.2		19393.6	14340.3	14148.1	11658.1	16429.9	11992.1	12553.3	18810.3	11438.9	7382.61	10859.6	9611.85	19099.7	20470.1	10244.7	
A0A0R4IM99	A0A0R4IM99_DANRE	tpm2		128137	134195	132326	135158	133107	140396	100593	98345.6	90188.8	93380.1	124598	120311	99869.7	100533	265220	278299
A0A0R4IMB2	A0A0R4IMB2_DANRE	c3a.6			6839.14	16169.9	14568.1	9415.79	10550.1	8499.56	8190.55	3328.85		11151.3	9997.48	10845.7	13475.5	10041.1	18665.4
A0A0R4IMF6	A0A0R4IMF6_DANRE	eif4ba		42693.2	46623.3	44497.2	45594.8	48092.8	41939.2	44654.9	40257.5	34176.7	32459.9	45916.9	31848.5	56656.7	53003.1	40578.2	39134.9
A0A0R4IML0	A0A0R4IML0_DANRE	capgb		90304.2	87599	87979.3	91274	92308	96051.3	84175.6	77305.9	60258.9	72202.7	99907.4	110546	83046	83950.4	121513	131822
A0A0R4IMP0	A0A0R4IMP0_DANRE	u2af2b		101493	105617	125210	126030	121955	122957	110833	112878	91758.3	118827	121055	106974	116622	122184	156376	128948
A0A0R4IMR9	A0A0R4IMR9_DANRE	fam49a				11289.5	13886.7	11088.2	15109.3		14490.9		29102.1					29336.5	42833.1
A0A0R4IMS9	A0A0R4IMS9_DANRE	polr2a		67853.9	67293.6	72332.1	78653.1	74699.7	79112	75099	72966	80749.6	72148.4	78540.3	81022.3	76490.4	81510.6	76877	79109.7
A0A0R4IMZ8	A0A0R4IMZ8_DANRE	kpnb1		105434	108273	111233	111271	112736	114231	102725	108341	117924	118608	104403	106259	112084	112596	134569	139051
A0A0R4IN12	A0A0R4IN12_DANRE	spink2.4					3568.86	12605.2	13037.3					7779.9		12846.9	14185.3		
A0A0R4IN59	A0A0R4IN59_DANRE	si:ch73-281k2.5		16120.8	16421	32327.8	34667.7	14673.5	12269	29405.8	28576	15322.8	12142.6	18134.9	15172.2	18133.3	18701.8	33579.8	38490.3
A0A0R4IN78	A0A0R4IN78_DANRE	stk24b		41808.3	40263.8	31501.4	31806.6	32799.1	32076.6	31356.8	24874.4	25669.9	26231.7	24413.3	27294.3	49534.9	47760.6	31272.2	28553.2
A0A0R4IN87	A0A0R4IN87_DANRE	gatad2ab		59835.4	64470.9	70952.1	74561.7	68833.8	76446.8	73450.4	77285.5	68509.3	71665.8	69490.4	67999.7	59830.3	61764.8	75210.1	65960.3
A0A0R4INF0	A0A0R4INF0_DANRE	zbtb4		10403.5	10753.8	9611.54	10736.2	9853.54	9491.92	10926.9	11719.3	18083.2	7104.98	12613.8	10722.3	11521.7	11388.9	8812.84	10766.2
A0A0R4ING6	A0A0R4ING6_DANRE	camlg		54506.4	62093	72123.7	75085	67987.2	68329.6	47816.1	53172.5	76150.6	68477.8	40068.4	39673.9	40800.8	42680.2	50465.4	50657.7
A0A0R4INK2	A0A0R4INK2_DANRE	uap1		59142.4	61350.9	49241.3	54154.2	51763.7	54222.6	62580.8	52112.1	63824.5	68221.3	46582.5	51162.6	56506.3	45682.7	48282.3	63196.3
A0A0R4IP12	A0A0R4IP12_DANRE	pds5b		98536.4	93529.3	93825.9	92772.3	96654.8	90412.2	104822	102053	78215.9	84235.3	107449	110044	115037	108883	86117.5	84401.5
A0A0R4IP89	A0A0R4IP89_DANRE	si:ch211-207l14.1		53044.5	54355.4	66429	58508.9	61965.5	63420	63824.8	65308	56951.2	52843.5	52259	62415	68402.7	77823.3	57764.6	63954.9
A0A0R4IPL1	A0A0R4IPL1_DANRE	pfn2b		247687	244329	270895	294041	267284	289742	251174	251955	317707	365518	203369	200515	214476	226235	381705	353850
