Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A9_1_22178.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A10_1_22179.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A11_1_22180.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A12_1_22181.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B1_1_22182.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B2_1_22183.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B3_1_22184.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B4_1_22185.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B1_1_22186.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B2_1_22187.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B3_1_22188.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B4_1_22189.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A5_1_22174.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A6_1_22175.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A7_1_22176.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A8_1_22177.d
Q4KMH7	Q4KMH7_DANRE	eml2		322321	321361	320023	317347	247781	248744	279139	265453	270313	239894	337764	327334	326675	332479	336497	358183
Q4KMH9	Q4KMH9_DANRE	tmem128		5323.38	5913.94	6915.49		4592.68	5694.67	4749.9	5983.52		7863.94	5109.37	5621.2	5709.29	5223.98	9026.1	5985.19
Q4KMI4	REEP2_DANRE	reep2		11676.9	9183.36	9552.87	11594.5	12160	8651.2	9517.38	10988.8	8754.45	8654.8	15289.4	15726.2	11365.6	9293.96	10321.4	6495.72
Q4KMJ5	Q4KMJ5_DANRE	nif3l1		40062.9	36958.4	39239.9	24217.1	42859.8	44323.2	39134.6	38592.5	34983.9	31891.3	75862.3	52153.2	50453.1	52083.4	38796.5	44493.7
Q4KMK4	Q4KMK4_DANRE	atp1a3b		1.30303e+06	1.35515e+06	1.16965e+06	1.187e+06	1.27801e+06	1.31827e+06	1.20945e+06	1.33885e+06	1.66331e+06	1.58064e+06	1.1838e+06	1.15428e+06	1.2724e+06	1.17487e+06	1.5131e+06	1.63069e+06
Q4L216	Q4L216_DANRE	afp4		101471	101984	95201.3	97466.2	125438	126488	89331.9	94791.6	87254.5	61605.5	80649	81555.7	92748.6	102298	144216	158654
Q4QRC6	ISCA1_DANRE	isca1		11859	13348.2	10545.4		8335.04	8873.55	8084.2	11601	10654.2	11382.9	16065.8	14910.3	14681.3	12829	10757.9	9016.27
Q4QRD6	Q4QRD6_DANRE	ompa		172216	206412	143849	157896	153439	188934	154731	211931	210213	210363	105461	116209	144273	149292	293766	305320
Q4QRD9	Q4QRD9_DANRE	chordc1a		20545.4	20631.8	21874.8	19122			20484.5	18681.9	13284.9	25620	9117.32	10194.3	14223.4	9577.04		
Q4QRF7	LEG1B_DANRE	leg1b		109263	104343	27017.6	28319.2	19624.3	21369.8	27566.5	26276.2	64718.4	62879.1	32377.5	31446.6	37558.7	34121.8	29680.4	27967.1
